=== Tag Frequencies ===
#3학점: 20 games
#룸메: 14 games
#팀모임: 13 games
#순발력: 11 games
#25: 9 games
#마피아: 8 games
#머더부: 7 games
#인기: 2 games
#커플: 1 games

=== Games with NO Tags ===
- 카리바 (Genre: 카드, Category: 보드게임, Players: 2~4)
- 용사가 죽었다 (Genre: 추리/머더, Category: 머더미스터리, Players: 4~5)
- 카르네이데스의 음영 (Genre: 추리/머더, Category: 머더미스터리, Players: 4~8)
- 이스케이프 룸 (Genre: 방탈출, Category: 보드게임, Players: 3~5)
- 진실카드게임 (Genre: 파티, Category: 보드게임, Players: 2~6)
- 카르타벤추라 : 라싸 (Genre: 역사/카드, Category: 보드게임, Players: 1~6)
- 1%의 기적 (Genre: 파티/행운, Category: 보드게임, Players: 3~6)
- 플레이어님! 어느 성좌가 좋아? (Genre: 파티, Category: 보드게임, Players: 2~10)
- 코드네임 (Genre: 단어/파티, Category: 보드게임, Players: 2~8)
- 크툴루의 부름 : 수호자 룰북 (Genre: TRPG, Category: TRPG, Players: 2~6)
- 캠프 파이어 퀘스천 카드 (Genre: 파티, Category: 보드게임, Players: 3~8)
- 킹 솔로몬 (Genre: 전략, Category: 보드게임, Players: 3~5)
- 탑텐 TV (Genre: 파티, Category: 보드게임, Players: 4~9)
- 트랙스 : 사이렌 베이 (Genre: 추리, Category: 보드게임, Players: 1~10)
- 티켓 투 라이드 : 유럽 (Genre: 가족/전략, Category: 보드게임, Players: 2~5)
- 패치워크 (Genre: 퍼즐/타일, Category: 보드게임, Players: 2~2)
- 페이퍼 사파리 (Genre: 카드, Category: 보드게임, Players: 2~5)
- 포 더 윈 (Genre: 추상전략, Category: 보드게임, Players: 2~2)
- 탁상탐정단 : 얼굴없는 앨리스 (Genre: 추리/머더, Category: 머더미스터리, Players: 2~4)
- 미크로 마크로 : 크라임시티 (Genre: 추리/숨은그림, Category: 보드게임, Players: 1~4)
- TEXAS HOLD'EM POKER SET (Genre: 카드, Category: 플레잉카드, Players: 2~8)
- 파랑새 (Genre: 추리/머더, Category: 머더미스터리, Players: 4~5)
- 페이퍼 던전 (Genre: 롤앤라이트, Category: 보드게임, Players: 1~100)
- 더 지니어스 : 호러 레이스 (Genre: 레이싱/전략, Category: 보드게임, Players: 3~9)
- 던전월드 (Genre: TRPG, Category: TRPG, Players: 3~5)
